event_id,date,lat,lon,dep,mag
258,2017-02-01T11:38:30.090,-11.1912,-76.4658,97.32,4.6
259,2017-02-01T10:35:47.340,-15.6242,-70.3152,216.22,4.6
260,2017-01-30T11:46:47.120,-14.5215,-72.8956,70.76,4.7
261,2017-01-28T12:22:14.360,-11.4721,-73.2052,48.55,4.4
262,2017-01-28T11:39:41.950,-14.5491,-76.3968,29.31,4.6
263,2017-01-28T06:42:31.910,-9.3512,-79.0025,50.16,5.3
264,2017-01-27T21:27:56.550,-13.9216,-75.9866,14.66,4.4
265,2017-01-20T12:51:42.140,-17.3876,-69.8643,157.39,4.1
266,2017-01-19T21:13:18.050,-14.9623,-72.6655,122.06,4.2
267,2017-01-18T08:03:25.320,-15.5917,-70.2632,235.98,4.3
268,2017-01-17T23:44:20.280,-12.2484,-77.3058,38.46,4.2
269,2017-01-12T15:13:47.340,-15.5004,-72.4357,10,4.4
270,2017-01-10T21:15:50.170,-16.1105,-74.3792,30.89,4.2
271,2017-01-10T04:53:55.100,-15.7257,-72.1102,3.9,4.5
272,2017-01-07T16:04:54.350,-7.8437,-75.5479,39.7,4.9
273,2017-01-06T22:55:33.530,-11.3197,-78.193,37.91,5.1
274,2017-01-02T13:13:48.710,-4.895,-76.3675,106,5.9
275,2017-01-01T02:45:37.500,-12.9415,-76.5974,40.44,4.1
276,2016-12-31T04:27:28.650,-17.614,-71.3453,69.12,4.2
277,2016-12-29T18:22:26.380,-8.6997,-74.681,147.63,4.2
278,2016-12-29T15:38:43.050,-6.845,-75.9423,4.49,4.5
279,2016-12-28T10:18:36.160,-7.286,-74.3831,172.54,4.4
280,2016-12-22T16:43:54.670,-12.5972,-77.4643,23.11,4.7
281,2016-12-22T03:24:11.970,-17.9262,-69.735,125.03,4.5
282,2016-12-21T11:18:58.800,-13.5278,-75.1046,82.97,5
283,2016-12-18T13:30:10.680,-9.9738,-70.9698,612,6.4
284,2016-12-17T07:23:30.840,-10.8885,-78.7959,37.68,5
285,2016-12-16T05:55:00.920,-15.9762,-75.1379,40.73,4
286,2016-12-15T07:14:50.390,-15.2573,-71.1599,10,4.6
287,2016-12-15T00:03:33.380,-15.6118,-74.4008,59.97,4.4
288,2016-12-12T17:04:45.160,-15.6341,-74.4793,62.63,4.4
289,2016-12-12T05:04:32.030,-15.3608,-75.7917,36.38,4.2
290,2016-12-08T19:07:14.390,-10.927,-78.2454,56.2,4.5
291,2016-12-07T10:24:56.410,-5.246,-78.8116,16.6,4.6
292,2016-12-06T18:07:53.660,-14.2789,-75.9679,42.01,3.9
293,2016-12-05T18:57:02.000,-17.709,-69.754,152.3,4.5
294,2016-12-04T19:21:34.850,-15.2721,-70.8565,10,4.3
295,2016-12-03T23:21:43.720,-10.8609,-75.3675,10,4
296,2016-12-03T05:52:18.490,-15.3,-70.9666,10,4.3
297,2016-12-02T11:49:57.380,-15.3456,-70.9966,10,4.4
298,2016-12-02T07:11:40.740,-15.1396,-70.9945,27.32,4.2
299,2016-12-02T03:04:58.310,-15.1851,-70.8202,10,4.8
300,2016-12-01T23:53:37.270,-15.203,-71.089,5.52,3.9
301,2016-12-01T22:40:26.610,-15.3122,-70.827,12,6.2
302,2016-12-01T19:14:19.610,-15.2243,-70.9485,16.45,4.5
303,2016-11-28T03:39:58.730,-8.3315,-79.8727,48.89,4.4
304,2016-11-28T02:41:49.810,-14.4034,-75.5591,42.27,4.1
305,2016-11-27T16:53:14.380,-8.331,-79.9875,35,4.7
306,2016-11-25T02:53:42.790,-16.8071,-72.6625,79.57,4.2
307,2016-11-22T20:20:30.380,-17.1421,-69.8872,183.73,4.1
308,2016-11-22T18:50:56.620,-15.2487,-75.3329,41.49,4.3
309,2016-11-21T05:28:19.030,-10.7158,-74.7366,44.7,4.5
310,2016-11-20T00:49:00.420,-17.6203,-70.4986,106.82,4.2
311,2016-11-18T11:33:12.100,-14.471,-75.6888,48.06,4.2
312,2016-11-17T12:09:16.900,-9.8653,-79.5511,35.94,4.4
313,2016-11-17T07:26:10.100,-14.8624,-75.6564,62.3,4.3
314,2016-11-11T14:53:04.400,-8.6006,-74.5069,136.47,5.2
315,2016-11-10T17:43:14.010,-14.7926,-73.5847,60.16,4.9
316,2016-11-10T03:14:27.930,-17.2272,-71.4606,69.98,4.1
317,2016-11-09T20:01:22.830,-6.5038,-80.6675,10,4.6
318,2016-11-09T02:15:20.480,-11.4368,-76.0389,110.27,4.4
319,2016-11-08T23:11:58.730,-17.1569,-70.4323,127.52,4.5
320,2016-11-07T02:35:16.850,-15.8454,-73.0242,100.42,4.2
321,2016-11-03T05:10:03.620,-11.5075,-77.7097,63.54,4.1
322,2016-11-01T08:29:39.490,-16.0096,-74.1772,75.28,4.1
323,2016-10-29T06:09:10.020,-9.2915,-75.4785,10,4.2
324,2016-10-28T03:47:32.920,-11.8527,-77.1503,67.37,4.8
325,2016-10-27T00:31:36.630,-12.8125,-76.6679,59.95,4.5
326,2016-10-26T14:08:07.380,-9.315,-75.4178,31.95,5.1
327,2016-10-25T15:36:49.070,-4.8664,-81.2656,29.4,4.5
328,2016-10-25T09:47:24.690,-8.7124,-74.881,135.86,4.5
329,2016-10-24T15:21:02.820,-11.6743,-76.9116,71.34,4.4
330,2016-10-23T08:44:42.000,-10.1,-75.6,15,3.7
331,2016-10-22T12:08:52.170,-14.1845,-75.3972,63.85,4.6
332,2016-10-19T19:31:16.010,-13.5758,-76.2708,49.11,4.7
333,2016-10-19T18:14:41.590,-17.3063,-71.2792,85.97,3.9
334,2016-10-19T06:40:15.200,-12.409,-77.9147,34.42,4.6
335,2016-10-17T17:16:01.900,-14.1993,-75.4001,51.83,4.5
336,2016-10-16T13:04:26.680,-7.0092,-80.1252,40.74,5
337,2016-10-16T05:52:52.120,-8.8675,-74.7543,135.88,4.5
338,2016-10-15T13:44:07.190,-12.5039,-78.1282,23.9,4.3
339,2016-10-14T21:45:12.720,-10.8365,-78.7401,10,4.3
340,2016-10-14T20:26:06.320,-6.1575,-75.1897,41.15,4.3
341,2016-10-14T09:36:50.650,-3.9656,-80.3452,8.58,3.9
342,2016-10-05T16:06:14.170,-9.7981,-74.8533,102.78,5.3
343,2016-10-03T20:16:58.440,-7.7782,-74.6539,150.15,4.3
344,2016-10-03T19:45:08.000,-14.43,-76.32,18,4.4
345,2016-10-02T20:59:55.570,-8.5532,-80.446,10,4.6
346,2016-10-02T08:24:01.460,-13.8751,-72.6187,71.23,4.1
347,2016-10-01T19:47:44.880,-8.8159,-74.8383,44.16,4.9
348,2016-09-30T22:35:48.860,-3.9976,-76.9364,105.52,4.6
349,2016-09-29T17:39:02.030,-14.2818,-72.8017,58.75,4.1
350,2016-09-26T17:17:51.140,-11.6891,-77.3596,62.82,4.1
351,2016-09-25T12:10:40.970,-8.3844,-75.1063,121.22,4.6
352,2016-09-25T05:09:02.000,-5.56,-81.22,41,4.1
353,2016-09-23T19:00:51.170,-15.9474,-75.4829,10,4
354,2016-09-20T05:05:21.030,-17.5239,-70.4927,101.34,5
355,2016-09-19T18:46:29.770,-16.8533,-71.4933,101.15,4.1
356,2016-09-18T08:32:33.000,-10.45,-75.12,28,3.9
357,2016-09-18T06:48:22.000,-16.06,-73.72,37,4.1
358,2016-09-17T12:55:53.700,-11.2782,-76.4816,95.61,4.1
359,2016-09-15T06:42:22.760,-6.3467,-76.7331,19.74,4.5
360,2016-09-12T14:29:21.820,-13.1752,-74.8461,67.39,4.2
361,2016-09-10T10:08:20.020,-5.573,-76.9536,121,6.1
362,2016-09-09T15:34:40.120,-8.9726,-79.4102,48.6,4.4
363,2016-09-09T05:52:30.320,-15.6439,-71.6715,10.71,4.1
364,2016-09-08T09:38:46.240,-15.7413,-70.5587,214.02,4.5
365,2016-09-01T08:04:11.480,-16.4893,-72.2152,78.57,4.8
366,2016-08-29T19:53:20.690,-15.8161,-74.0383,57.29,4.5
367,2016-08-29T16:54:11.090,-5.2112,-80.5041,86.62,4.1
368,2016-08-29T10:36:48.860,-16.3778,-72.4638,86.34,4.6
369,2016-08-27T20:19:15.830,-8.2446,-76.21,121.7,4.5
370,2016-08-26T11:01:09.550,-10.7234,-73.6365,121.6,4.8
371,2016-08-26T07:53:29.470,-13.6599,-74.544,74.53,4.2
372,2016-08-21T18:37:59.830,-13.0042,-75.7531,92.5,4.2
373,2016-08-21T07:14:00.580,-16.1908,-74.0549,35,4.6
374,2016-08-19T09:49:10.810,-17.0241,-72.349,44.91,5.3
375,2016-08-17T12:36:22.000,-11.61,-76.95,113,4.2
376,2016-08-17T12:36:01.000,-16.52,-71.74,20,4.3
377,2016-08-15T11:16:32.020,-5.23,-79.1442,78.58,4.2
378,2016-08-15T02:59:00.840,-15.6542,-72.0092,20,5.5
379,2016-08-15T01:45:47.870,-7.0596,-80.5277,41.46,4.3
380,2016-08-12T21:05:31.010,-14.5754,-76.5586,34.86,4.4
381,2016-08-12T09:20:06.420,-13.934,-75.4136,76.31,4.2
382,2016-08-09T23:09:05.950,-8.0281,-73.9401,182.18,4.2
383,2016-08-09T10:45:17.080,-5.9414,-78.7662,10,4.3
